<date>,<open>,<high>,<low>,<close>,<vol>
10.01.2007,4.4188861253913717194421790214912162243,4.4188861253913717194421790214912162243,4.4188861253913717194421790214912162243,4.4188861253913717194421790214912162243,272943877.44,
10.02.2007,3.7188042988116772736404585112816959672,3.7188042988116772736404585112816959672,3.7188042988116772736404585112816959672,3.7188042988116772736404585112816959672,187088901.98,
10.03.2007,8.1927266855144911132309194100937708504,8.1927266855144911132309194100937708504,8.1927266855144911132309194100937708504,8.1927266855144911132309194100937708504,283327937.97,
10.04.2007,8.9601584705007931302069699011153883458,8.9601584705007931302069699011153883458,8.9601584705007931302069699011153883458,8.9601584705007931302069699011153883458,132608769,
10.05.2007,8.7250738414816486284628187623516747267,8.7250738414816486284628187623516747267,8.7250738414816486284628187623516747267,8.7250738414816486284628187623516747267,172402402.12,
10.08.2007,5.4458293026972013466506276376856396332,5.4458293026972013466506276376856396332,5.4458293026972013466506276376856396332,5.4458293026972013466506276376856396332,276038270.71,
10.09.2007,6.2793154760058560423097841271187220462,6.2793154760058560423097841271187220462,6.2793154760058560423097841271187220462,6.2793154760058560423097841271187220462,298032242.92,
10.10.2007,5.6561004615464201659370545000901118266,5.6561004615464201659370545000901118266,5.6561004615464201659370545000901118266,5.6561004615464201659370545000901118266,193700485.88,
10.11.2007,5.4218988167383605675762007359817330624,5.4218988167383605675762007359817330624,5.4218988167383605675762007359817330624,5.4218988167383605675762007359817330624,307467322.68,
10.12.2007,1.9580951450244107596307776817028209147,1.9580951450244107596307776817028209147,1.9580951450244107596307776817028209147,1.9580951450244107596307776817028209147,220319617.51,
10.15.2007,1.9861074872882458181530053674910507988,1.9861074872882458181530053674910507988,1.9861074872882458181530053674910507988,1.9861074872882458181530053674910507988,157533662.48,
10.16.2007,1.4973589183494127333603332888397869435,1.4973589183494127333603332888397869435,1.4973589183494127333603332888397869435,1.4973589183494127333603332888397869435,213525097.45,
10.17.2007,.78363183864795516711243066689711884451,.78363183864795516711243066689711884451,.78363183864795516711243066689711884451,.78363183864795516711243066689711884451,267147119.47,
10.18.2007,1.8592716791757948974917503844953621667,1.8592716791757948974917503844953621667,1.8592716791757948974917503844953621667,1.8592716791757948974917503844953621667,479130672.32,
10.19.2007,6.3222767367768530463800426384488172416,6.3222767367768530463800426384488172416,6.3222767367768530463800426384488172416,6.3222767367768530463800426384488172416,382687870.86,
10.22.2007,6.9753706446082315295781806601190890408,6.9753706446082315295781806601190890408,6.9753706446082315295781806601190890408,6.9753706446082315295781806601190890408,361411795.96,
