<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
INDEX.CSI200;D;20071025;0;5299.6140000;5299.6140000;5001.0000000;5017.3650000;2039179800
INDEX.CSI200;D;20071026;0;4955.9690000;5069.8470000;4923.7510000;5037.0440000;1445664800
INDEX.CSI200;D;20071029;0;5072.4720000;5132.1310000;5037.6400000;5132.1310000;1240891200
INDEX.CSI200;D;20071030;0;5159.5720000;5234.2160000;5124.6500000;5233.0240000;1266711900
INDEX.CSI200;D;20071031;0;5289.0750000;5384.3840000;5275.2270000;5377.5830000;1803577500
INDEX.CSI200;D;20071101;0;5377.6750000;5377.6750000;5224.0670000;5224.0670000;1458740500
INDEX.CSI200;D;20071102;0;5138.3440000;5158.8310000;5024.2310000;5046.5760000;1384918600
INDEX.CSI200;D;20071105;0;5012.3280000;5107.8260000;4987.7880000;5019.3320000;1108687500
INDEX.CSI200;D;20071106;0;5012.7720000;5068.4390000;4990.6140000;5006.9860000;927346300
INDEX.CSI200;D;20071107;0;5039.4990000;5076.8900000;4913.3870000;5015.9100000;978450200
INDEX.CSI200;D;20071108;0;4992.2570000;4992.2570000;4789.3480000;4791.6130000;1347852200
INDEX.CSI200;D;20071109;0;4749.2170000;4797.1040000;4647.6820000;4698.3210000;1171713600
INDEX.CSI200;D;20071112;0;4596.0410000;4619.8680000;4451.0990000;4583.8490000;1270991500
INDEX.CSI200;D;20071113;0;4621.1330000;4668.6890000;4512.7760000;4581.1460000;1264497600
INDEX.CSI200;D;20071114;0;4628.6530000;4767.3570000;4573.2580000;4766.5570000;1303274700
INDEX.CSI200;D;20071115;0;4768.1790000;4801.4260000;4686.6690000;4700.0610000;1352424000
INDEX.CSI200;D;20071116;0;4639.6520000;4670.1340000;4565.9940000;4662.2240000;1022365400
INDEX.CSI200;D;20071119;0;4675.8900000;4727.8310000;4658.7800000;4714.1280000;1044982900
INDEX.CSI200;D;20071120;0;4689.7030000;4814.1330000;4660.3230000;4793.0380000;1327745700
INDEX.CSI200;D;20071121;0;4812.9290000;4853.1240000;4733.5160000;4738.7850000;1099172700
INDEX.CSI200;D;20071122;0;4657.2430000;4672.2500000;4490.8820000;4501.5640000;1043849800
INDEX.CSI200;D;20071123;0;4465.4880000;4575.4010000;4440.2280000;4575.2980000;725569400
INDEX.CSI200;D;20071126;0;4647.8990000;4662.3370000;4524.1330000;4527.1630000;917661400
INDEX.CSI200;D;20071127;0;4493.9490000;4532.7940000;4444.4880000;4467.5570000;797453100
INDEX.CSI200;D;20071128;0;4482.4570000;4514.1420000;4376.9510000;4401.1350000;758642400
INDEX.CSI200;D;20071129;0;4444.6040000;4542.4170000;4369.3980000;4531.0930000;1115008500
INDEX.CSI200;D;20071130;0;4535.5920000;4535.5920000;4428.0150000;4436.9840000;1063276800
INDEX.CSI200;D;20071203;0;4423.4190000;4487.0840000;4404.6070000;4463.9700000;801605000
INDEX.CSI200;D;20071204;0;4474.2300000;4532.0830000;4473.9500000;4498.4520000;782716000
INDEX.CSI200;D;20071205;0;4496.8000000;4628.0750000;4479.9810000;4624.1240000;1178904900
INDEX.CSI200;D;20071206;0;4647.1730000;4661.7360000;4595.1380000;4638.5780000;1006158200
INDEX.CSI200;D;20071207;0;4648.0820000;4719.8320000;4646.5420000;4719.0380000;1240160600
INDEX.CSI200;D;20071210;0;4658.9330000;4855.1990000;4634.2470000;4852.4290000;1782696100
INDEX.CSI200;D;20071211;0;4869.5460000;4898.7230000;4821.6470000;4882.2390000;1743965300
INDEX.CSI200;D;20071212;0;4862.9600000;4917.4380000;4824.4080000;4874.3820000;1636446500
INDEX.CSI200;D;20071213;0;4859.3310000;4868.8210000;4670.2140000;4672.0050000;1516767500
INDEX.CSI200;D;20071214;0;4622.5640000;4768.6400000;4592.3830000;4767.8020000;1262877400
INDEX.CSI200;D;20071217;0;4776.0710000;4781.6220000;4714.0410000;4715.9760000;1554600000
INDEX.CSI200;D;20071218;0;4695.9710000;4750.6270000;4671.5250000;4698.5820000;962646600
INDEX.CSI200;D;20071219;0;4738.1030000;4810.6950000;4731.2830000;4796.7030000;1318915600
INDEX.CSI200;D;20071220;0;4812.2490000;4877.4690000;4795.1350000;4869.1810000;1356293600
INDEX.CSI200;D;20071221;0;4852.0120000;4964.0730000;4852.0120000;4962.8900000;1642488400
INDEX.CSI200;D;20071224;0;5006.9690000;5100.0350000;5005.4370000;5052.9290000;1999105700
INDEX.CSI200;D;20071225;0;5068.1190000;5099.5520000;5033.8390000;5086.1230000;1521635400
INDEX.CSI200;D;20071226;0;5103.4450000;5162.5860000;5092.2770000;5162.1230000;1684228400
INDEX.CSI200;D;20071227;0;5185.6620000;5247.3390000;5169.8590000;5235.2440000;2007660000
INDEX.CSI200;D;20071228;0;5249.8010000;5265.3480000;5203.1820000;5219.5560000;1784162100
INDEX.CSI200;D;20071231;0;5219.5560000;5219.5560000;5219.5560000;5219.5560000;0
INDEX.CSI200;D;20080102;0;5241.6150000;5352.6710000;5199.4190000;5343.8180000;2064607800
INDEX.CSI200;D;20080103;0;5347.8120000;5443.8720000;5322.3050000;5436.4710000;2705698600
INDEX.CSI200;D;20080104;0;5453.9140000;5510.5320000;5433.4080000;5496.3040000;2145517200
INDEX.CSI200;D;20080107;0;5493.9370000;5601.6460000;5469.1070000;5588.7040000;2287192700
INDEX.CSI200;D;20080109;0;5539.7020000;5610.1350000;5538.3950000;5610.1350000;839097000
INDEX.CSI200;D;20080110;0;5629.6590000;5731.3220000;5623.7180000;5680.5210000;2554357900
INDEX.CSI200;D;20080111;0;5688.8220000;5702.3350000;5601.4530000;5663.6850000;2234607700
INDEX.CSI200;D;20080114;0;5670.1430000;5741.1860000;5641.1380000;5727.6700000;2318476100
INDEX.CSI200;D;20080115;0;5743.5090000;5779.5210000;5688.4550000;5750.8270000;2205218800
INDEX.CSI200;D;20080116;0;5705.7210000;5705.7210000;5597.7160000;5631.5520000;2470366000
INDEX.CSI200;D;20080117;0;5584.2110000;5677.2580000;5321.5990000;5480.3340000;2704321900
INDEX.CSI200;D;20080118;0;5481.0410000;5571.0250000;5432.7000000;5567.2390000;2124658800
INDEX.CSI200;D;20080121;0;5577.4440000;5586.9410000;5295.4810000;5320.1940000;2285805800
INDEX.CSI200;D;20080122;0;5176.8820000;5184.6550000;4861.0510000;4885.7940000;2506856800
INDEX.CSI200;D;20080123;0;4901.6740000;5152.0690000;4883.2840000;5151.6920000;2470895200
INDEX.CSI200;D;20080124;0;5198.8130000;5319.1640000;5156.0170000;5268.2760000;2700782300
INDEX.CSI200;D;20080125;0;5272.5220000;5345.7340000;5234.8160000;5297.4620000;2228112800
INDEX.CSI200;D;20080128;0;5279.5640000;5279.5640000;4925.2240000;4956.5380000;1765555900
INDEX.CSI200;D;20080129;0;4966.4450000;5091.1640000;4927.6880000;5018.7080000;1255047100
INDEX.CSI200;D;20080130;0;5070.3940000;5119.1140000;4893.3990000;4999.6940000;1404024800
INDEX.CSI200;D;20080131;0;4978.8950000;5002.3110000;4841.3110000;4845.1050000;1145499600
INDEX.CSI200;D;20080201;0;4846.6820000;4876.8330000;4555.7270000;4700.2190000;1234532400
INDEX.CSI200;D;20080204;0;4819.8870000;5080.0230000;4819.8870000;5077.0990000;1310454200
INDEX.CSI200;D;20080205;0;5079.3720000;5138.9880000;5007.2600000;5073.7020000;1092853300
INDEX.CSI200;D;20080213;0;5039.8540000;5084.0080000;4964.3000000;5015.5240000;832111100
INDEX.CSI200;D;20080214;0;5054.0700000;5118.2630000;5035.9740000;5094.3070000;838660800
INDEX.CSI200;D;20080215;0;5067.0190000;5067.0190000;4966.4400000;5043.1820000;952324800
INDEX.CSI200;D;20080218;0;5103.6980000;5187.6000000;5089.3000000;5159.6440000;1342914900
INDEX.CSI200;D;20080219;0;5175.4050000;5293.5290000;5140.2740000;5292.7070000;1656246200
INDEX.CSI200;D;20080220;0;5314.5350000;5349.1000000;5214.9490000;5225.0770000;1726770500
INDEX.CSI200;D;20080221;0;5193.4760000;5294.8740000;5137.3610000;5249.8870000;1456853400
INDEX.CSI200;D;20080222;0;5227.2650000;5240.0380000;5045.6680000;5124.5380000;1555819200
INDEX.CSI200;D;20080226;0;5035.7370000;5079.9820000;4765.6400000;4895.0540000;1209230500
INDEX.CSI200;D;20080227;0;4927.4150000;5026.8660000;4889.6590000;5021.2010000;1235621800
INDEX.CSI200;D;20080228;0;5038.9740000;5069.6080000;4973.9050000;5022.9290000;1263568800
INDEX.CSI200;D;20080229;0;5018.3800000;5078.5300000;5003.6850000;5078.5200000;1113930200
INDEX.CSI200;D;20080303;0;5054.7620000;5232.5730000;5015.6550000;5226.3230000;1980337300
INDEX.CSI200;D;20080304;0;5253.9310000;5296.2060000;5135.3040000;5151.3180000;2210681600
INDEX.CSI200;D;20080305;0;5124.4500000;5165.7810000;5010.2740000;5141.9140000;1902496700
INDEX.CSI200;D;20080306;0;5160.7850000;5224.8920000;5140.5110000;5189.5910000;2317218100
INDEX.CSI200;D;20080307;0;5159.0750000;5191.7800000;5097.5610000;5108.4830000;1506447700
INDEX.CSI200;D;20080310;0;5076.8170000;5076.8170000;4889.4890000;4919.5120000;1295795900
INDEX.CSI200;D;20080311;0;4872.3890000;4938.8930000;4781.8730000;4938.8930000;1200565800
INDEX.CSI200;D;20080312;0;5024.2110000;5048.6580000;4803.1360000;4803.5670000;1225277900
INDEX.CSI200;D;20080313;0;4752.1760000;4779.8420000;4557.1010000;4636.5720000;1374006000
INDEX.CSI200;D;20080314;0;4617.0270000;4663.5130000;4537.2220000;4594.1010000;880899500
INDEX.CSI200;D;20080317;0;4575.3700000;4575.3700000;4281.9980000;4290.4280000;1211003800
INDEX.CSI200;D;20080318;0;4230.6000000;4302.8770000;3945.6100000;4008.5770000;1424508500
INDEX.CSI200;D;20080319;0;4075.0640000;4227.2350000;3999.1510000;4148.7870000;1621151800
INDEX.CSI200;D;20080320;0;4076.1160000;4326.3040000;3915.5510000;4282.2520000;1993959800
INDEX.CSI200;D;20080321;0;4273.2560000;4373.2260000;4237.3500000;4336.0010000;1876127200
INDEX.CSI200;D;20080324;0;4388.8440000;4409.8950000;4179.7940000;4179.8880000;1504803500
INDEX.CSI200;D;20080325;0;4091.4040000;4256.7340000;4050.7990000;4231.6510000;1221242700
INDEX.CSI200;D;20080326;0;4253.8380000;4322.3870000;4201.7160000;4233.2650000;1077470000
INDEX.CSI200;D;20080327;0;4175.4810000;4185.4950000;4038.3590000;4039.9660000;1218192900
INDEX.CSI200;D;20080328;0;3993.9950000;4184.5430000;3913.5770000;4178.7800000;1435471300
INDEX.CSI200;D;20080331;0;4064.5470000;4144.9100000;4011.4970000;4012.9000000;1128107900
INDEX.CSI200;D;20080401;0;3996.8990000;4034.6820000;3704.7100000;3712.7770000;1344162500
INDEX.CSI200;D;20080402;0;3735.3700000;3776.5940000;3518.2890000;3558.7950000;1436498100
INDEX.CSI200;D;20080403;0;3526.1550000;3685.9540000;3454.4580000;3651.0430000;1285648200
INDEX.CSI200;D;20080407;0;3606.6150000;3889.3320000;3564.2930000;3887.2290000;1590859600
INDEX.CSI200;D;20080408;0;3895.4410000;4007.0080000;3866.4530000;3963.9710000;1726565800
INDEX.CSI200;D;20080409;0;3934.0920000;4005.8520000;3758.6260000;3760.7360000;1627089800
INDEX.CSI200;D;20080410;0;3696.1800000;3859.1780000;3676.4010000;3859.1780000;1288303200
INDEX.CSI200;D;20080411;0;3886.0480000;3936.8020000;3860.3200000;3897.5920000;1179154600
INDEX.CSI200;D;20080414;0;3805.7460000;3815.3430000;3636.6850000;3649.5100000;1343346400
INDEX.CSI200;D;20080415;0;3627.1880000;3733.9480000;3557.0680000;3733.8370000;1203848300
INDEX.CSI200;D;20080416;0;3724.6190000;3738.4440000;3623.8760000;3633.1950000;991844300
INDEX.CSI200;D;20080417;0;3631.3840000;3698.9790000;3461.0130000;3507.5890000;1117112700
INDEX.CSI200;D;20080418;0;3477.7710000;3499.6590000;3357.5630000;3366.6570000;993783500
INDEX.CSI200;D;20080421;0;3605.2900000;3605.2900000;3278.3120000;3315.9200000;1647881200
INDEX.CSI200;D;20080422;0;3249.7610000;3294.7760000;3119.3420000;3280.8310000;1318524400
INDEX.CSI200;D;20080423;0;3258.4110000;3449.6300000;3232.3690000;3436.9660000;1577145900
INDEX.CSI200;D;20080424;0;3708.2350000;3743.6700000;3638.2910000;3738.1730000;3176275700
INDEX.CSI200;D;20080425;0;3754.7330000;3902.1670000;3705.6520000;3793.7330000;2935144500
INDEX.CSI200;D;20080428;0;3732.7350000;3801.0650000;3707.1760000;3744.7030000;1950722000
INDEX.CSI200;D;20080429;0;3781.5070000;3791.7330000;3776.4990000;3791.7330000;176338000
INDEX.CSI200;D;20080430;0;3798.5010000;3950.9020000;3798.5010000;3941.2990000;2675472400
INDEX.CSI200;D;20080505;0;3993.7760000;4084.9950000;3951.8200000;4075.2780000;2708780400
INDEX.CSI200;D;20080506;0;4045.4810000;4107.3850000;3991.4210000;4038.7700000;2623497400
INDEX.CSI200;D;20080507;0;4015.7040000;4063.9470000;3855.2820000;3855.6210000;2334160400
INDEX.CSI200;D;20080508;0;3809.8590000;3983.1030000;3800.6150000;3982.5450000;1946812200
INDEX.CSI200;D;20080509;0;4021.3370000;4047.6070000;3887.9150000;3975.2680000;2180547500
INDEX.CSI200;D;20080512;0;3906.7170000;4070.6030000;3876.3080000;4022.8680000;2018027900
INDEX.CSI200;D;20080513;0;3908.8620000;4055.3060000;3899.7760000;3995.5110000;2370658700
INDEX.CSI200;D;20080514;0;3992.6720000;4110.6380000;3992.6720000;4108.1380000;2390513300
INDEX.CSI200;D;20080515;0;4141.4590000;4175.7690000;4077.4450000;4077.6220000;2473871400
INDEX.CSI200;D;20080516;0;4075.5980000;4107.6970000;3978.9760000;4044.6450000;1979359100
INDEX.CSI200;D;20080519;0;4036.7500000;4074.9630000;3984.8550000;4047.3450000;1421709000
INDEX.CSI200;D;20080520;0;4041.9710000;4071.1370000;3798.6200000;3816.6010000;1737420700
INDEX.CSI200;D;20080521;0;3761.1490000;3902.5730000;3673.8220000;3884.0620000;2010156400
INDEX.CSI200;D;20080522;0;3845.4400000;3905.0930000;3812.4170000;3821.9460000;1915939600
INDEX.CSI200;D;20080523;0;3800.9870000;3836.5240000;3699.5630000;3758.2770000;1491942100
INDEX.CSI200;D;20080526;0;3723.6320000;3723.6320000;3631.7420000;3634.9800000;1346046400
INDEX.CSI200;D;20080527;0;3618.8100000;3670.6620000;3604.7940000;3659.7950000;1160411800
INDEX.CSI200;D;20080528;0;3668.0270000;3780.9350000;3650.4710000;3762.8500000;1439919100
INDEX.CSI200;D;20080529;0;3757.0580000;3770.5560000;3663.7480000;3664.5970000;1403334900
