,Cальдо сч.т.о.и сч.о.к.,kl,Гарантии,Задолж. по тов. пост.,Наличная инвалюта,Прочая деб. задолж.,Прочее участие в капитале,Прочие инвестиции,Сальдо фин.сч.,Сомнит. операции,Ссуды и займы,Текущие сч. и депозиты,Торг. кредиты и авансы,Чистое принятие обяз-в,Чистое приобретение ф.а.,Чистые ошибки и пропуски
0,19815.37,653495,0.26,-139.09,-166.94,32.33,16.45,1678.42,18621.52,4500.85,756.07,4817.85,533.99,8673.37,10351.79,-1193.84
1,21442.27,653495,2.27,-126.68,-299.06,-28.16,18.37,6930.52,20445.0,7582.25,13.7,5392.29,2038.11,7662.56,14593.08,-997.27
2,9365.84,653495,2.87,902.97,-204.13,331.77,0.0,693.99,9092.01,7992.8,-10513.86,-1183.54,821.74,-2543.37,-1849.39,-273.83
3,21377.84,653495,0.18,-2530.5,2008.94,28.02,0.0,-17813.82,18838.46,7458.87,1377.66,-1684.17,4250.9,28723.74,10909.92,-2539.38
4,30401.89,653495,0.53,543.28,556.3,185.87,24.29,5244.94,28369.74,7281.75,1761.6,7567.36,484.2,13160.22,18405.17,-2032.15
5,24139.23,653495,2.27,-119.6,-4911.43,870.47,0.09,-5668.8,25447.33,5390.49,3117.33,-2848.38,211.82,7381.86,1713.07,1308.1
6,24169.07,653495,4.32,551.82,-3465.46,-309.22,199.73,31572.16,28397.49,3881.45,8667.13,1353.91,878.9,-19809.57,11762.59,4228.42
7,13896.04,653495,0.93,-1050.03,-1774.5,-141.74,0.96,-10772.05,21638.98,4747.9,7857.61,10431.65,-958.51,29886.32,19114.26,7742.94
8,21285.45,653495,0.84,372.8,-2235.99,141.0,53.76,-4449.68,17993.63,7158.26,3997.89,14503.83,-3342.83,25099.25,20649.57,-3291.81
9,13914.13,653495,2.16,536.11,-4367.06,1050.4,5.62,-53295.62,15514.9,7699.46,5020.49,-15798.74,2637.13,50081.2,-3214.42,1600.77
10,14499.67,653495,5.14,-766.39,-4468.12,620.08,0.71,932.71,12072.44,9587.91,10214.69,16571.35,599.25,31431.92,32364.63,-2427.23
11,11853.02,653495,2.01,139.85,-4759.82,-611.78,5.86,-24034.53,6238.79,10051.07,6511.19,-2118.52,910.44,34164.81,10130.29,-5614.23
12,37722.79,653495,35.86,326.37,2739.67,678.66,623.21,21152.34,33085.16,10104.44,9187.84,12365.32,-1290.23,13618.8,34771.14,-4637.63
13,27789.69,653495,189.27,232.73,-3324.62,1869.49,3.43,-26183.56,32764.33,14798.61,7249.66,-590.01,1596.09,48208.21,22024.65,4974.64
14,27797.96,653495,3.72,-259.27,-920.43,27.16,2.7,14775.53,28093.05,14073.95,9666.11,23540.55,-786.09,30572.88,45348.41,295.08
15,10521.15,653495,-32.48,-317.62,30902.41,-799.45,36.29,111932.2,6749.85,11658.44,13911.57,19662.27,8609.64,-28301.12,83631.08,-3771.31
16,10548.3,653495,163.01,2267.26,8055.04,682.0,0.0,15616.77,2205.9,4771.03,-2574.43,-10809.82,-3756.51,-16819.21,-1202.43,-8342.4
17,5265.72,653495,26.52,164.75,-9108.41,924.24,1.72,-6455.58,9672.42,6191.02,-2420.4,-1988.69,-676.05,-429.72,-6885.3,4406.7
18,4955.69,653495,197.14,-315.8,-345.32,-196.06,0.0,19076.52,5141.49,6835.29,-9830.47,19701.38,-605.53,-3635.88,15440.63,185.79
19,17147.73,653495,-256.47,-287.04,-5253.57,-803.7,36.42,-11919.48,14498.86,6761.21,-823.21,-15067.95,-908.87,-4683.7,-16603.18,-2648.86
20,32815.85,653495,43.3,-838.89,-3342.77,690.66,0.0,7735.22,25043.1,5381.2,-469.65,1362.45,957.98,-3950.95,3784.27,-7772.74
21,17903.52,653495,407.89,209.96,-7048.04,361.59,24.99,-7388.93,15065.65,5202.23,3050.82,-10920.12,68.83,-1252.92,-8641.85,-2837.87
22,4768.22,653495,-95.51,111.67,-3586.75,174.75,250.0,4931.98,9711.29,7033.05,6846.47,4227.68,47.21,10076.58,15008.57,4943.07
23,11923.55,653495,-44.53,1404.26,-1011.7,-1469.34,35.72,3463.69,8457.97,8287.66,-259.55,2446.42,-304.78,5620.47,9084.16,-3465.58
24,29767.99,653495,43.26,666.42,-112.59,706.25,0.1,23575.46,27398.64,8333.67,4034.22,9123.35,-480.57,-1261.34,22314.12,-2369.36
25,22905.8,653495,112.15,-39.38,-1883.57,496.58,800.57,-2102.7,20249.21,9158.71,3041.57,6533.37,-2791.68,17531.02,15428.32,-2656.58
26,17567.79,653495,215.47,255.2,-1691.69,772.52,6.63,6238.31,17285.58,7326.03,7055.77,-624.99,-1538.39,5538.24,11776.55,-282.21
27,27162.05,653495,-48.59,769.44,254.77,-253.77,447.4,19971.46,23818.04,8445.03,9780.61,6190.88,8265.73,13880.05,33851.51,-3344.01
28,34525.55,653495,178.51,-852.37,2994.43,3045.2,0.0,33043.11,28241.09,10047.39,1615.85,12044.19,2817.6,-1152.31,31890.81,-6284.45
29,16076.17,653495,-71.65,1938.64,-1245.47,1119.94,220.82,-9893.53,13734.84,8363.98,-2063.2,1282.41,-3.95,19435.06,9541.53,-2341.33
30,5283.93,653495,263.58,-388.97,1741.63,-953.8,7.05,9273.0,5170.54,8413.1,4354.39,102.94,76.2,4343.12,13616.13,-113.39
31,10178.86,653495,-49.94,1230.8,-1283.67,-349.06,-28.6,10694.07,8546.78,11991.7,10111.54,2256.13,4776.24,17961.07,28655.14,-1632.07
32,25029.16,653495,202.13,-479.29,-1732.25,-11.36,460.13,-13457.49,18274.51,9283.49,-1134.35,24631.56,599.9,45277.45,31819.96,-6754.66
33,1792.92,653495,-40.16,-620.41,-1979.67,3356.23,242.35,17226.47,3717.51,8072.97,3586.71,12592.91,4327.81,12312.27,29538.74,1924.58
34,-493.69,653495,265.94,757.64,507.26,1305.09,13.29,9320.38,-2497.85,5797.85,6972.24,-16420.55,3803.32,-6318.29,3002.09,-2004.16
35,8077.29,653495,166.72,1412.32,2639.25,1894.27,-9.76,4477.9,4641.35,3349.89,11806.85,-3709.18,-1086.65,11985.8,16463.7,-3435.94
36,25605.78,653495,205.59,-702.49,19353.05,1288.94,2.44,27168.56,19725.48,2848.28,7654.69,4463.1,-2010.58,5934.45,33103.01,-27350.64
37,12071.63,653495,1119.99,2258.66,-1650.98,2089.82,2.64,23462.18,17424.14,3704.53,9721.01,5798.25,-587.41,-1005.66,22456.51,-10344.78
38,-3802.21,653495,67.74,-52.23,1572.32,-1179.3,6.48,-18486.99,273.85,1610.02,-6213.32,-32001.72,6764.43,-10938.59,-29425.57,-5682.67
39,-17448.76,653495,84.08,-2819.34,22539.9,3623.57,160.13,19328.61,-14784.3,444.13,-31342.86,2943.64,2971.68,-20723.66,-1395.06,-64169.0
40,29345.0,653495,27.76,146.6,-10029.71,2177.53,0.4,19095.16,26554.55,24.89,-1122.96,3251.26,3443.48,-21175.9,-2080.74,-10113.1
41,15758.0,653495,-17.33,-69.78,-5242.31,-1730.55,156.09,14606.51,16827.71,222.0,707.47,11312.44,2617.08,-6651.41,7955.1,-2165.52
42,7497.82,653495,9.63,122.1,-3611.55,-700.64,54.68,-14403.99,12113.62,311.33,-1951.3,-1641.77,-2339.64,4656.83,-9747.16,9728.21
